"","Pollinator species","Frequency"
"1","Apis mellifera",7
"2","Osmia aurulenta",7
"3","Halictus quadricinctus",5
"4","Hoplitis adunca",5
"5","Anthophora plumipes",4
"6","Bombus terrestris",4
"7","Lasioglossum malachurum",4
"8","Lestica clypeata",4
"9","Rhodanthdium sticticum",4
"10","Eucera elongatula",3
"11","Halictus fulvipes",3
"12","Lasioglossum xanthopum",3
"13","Osmia tricornis",3
"14","Psilothrix viridicoerulea",3
"15","Tropinota squalida",3
"16","Andrena agilissima",2
"17","Anthophora atroalba",2
"18","Bombus humilis",2
"19","Bombus sylvarum",2
"20","Enicopus sp",2
"21","Eucera nigrilabris",2
"22","Halictus scabiosae",2
"23","Lasioglossum algericolellum",2
"24","Lasioglossum bimaculatum",2
"25","Lasioglossum pauperatum",2
"26","Lasioglossum subhirtum",2
"27","Sphaerophoria scripta",2
"28","Trichodes apiarius",2
"29","Trichodes octopunctatus",2
"30","Amblyteles armatorius",1
"31","Amegilla quadrifasciata",1
"32","Ammophila sabilosa",1
"33","Andrena (Chlorandrena) sp",1
"34","Andrena flavipes",1
"35","Andrena lagopus",1
"36","Anthidiellum strigatum",1
"37","Anthophora dispar",1
"38","Bombus bohemicus",1
"39","Bombus lapidarius decipiens",1
"40","Bombus lucorum magnus x lucorum",1
"41","Ceratina chalcites",1
"42","Ceratina nigrolabiata",1
"43","Cerceris sp",1
"44","Dioxys cincta",1
"45","Dolichovespula sylvestris",1
"46","Eucera codinai",1
"47","Eucera notata",1
"48","Eumenes sp",1
"49","Fabriciana adippe",1
"50","Family Ichneumonidae",1
"51","Halictus sexcinctus",1
"52","Halictus sexnotatum",1
"53","Hamearis lucina",1
"54","Hemipenthes morio",1
"55","Hylaeus clypearis",1
"56","Hylaeus variegatus",1
"57","Lasioglossum laevigatum",1
"58","Lasioglossum pauxillum",1
"59","Macroglossum stellatarum",1
"60","Megachile leachella",1
"61","Megachile pilidens",1
"62","Melecta luctuosa",1
"63","Mylabris variabilis",1
"64","Podalonia hirsuta",1
"65","Polistes gallicus",1
"66","Polistes semenowi",1
"67","Rhagonycha fulva",1
"68","Syrphus ribesii",1
"69","Zygaena sarpedon",1
