"","Pollinator species","Frequency","Plants species","Frequency"
"1","Eucera elongatula","11","Eryngium campestre","16"
"2","Osmia aurulenta","9","Cardaria draba","15"
"3","Oedemera cf. nobilis","5","Retama sphaerocarpa","14"
"4","Apis mellifera","4","Vicia sp","9"
"5","Chloromyia formosa","4","Medicago sativa","7"
"6","Amegilla quadrifasciata","3","Sonchus oleraceus","7"
"7","Anthophora plumipes","3","Taraxacum officinale","7"
"8","Colletes nigricans","3","Picris echioides","5"
"9","Empis tessellata","3","Cirsium arvense","4"
"10","Eucera notata","3","Crepis sp","4"
"11","Lasioglossum algericolellum","3","Euphorbia phalcata","4"
"12","Megachile ericetorum","3","Papaver rhoeas","4"
"13","Oxythyrea funesta","3","Echium vulgare","3"
"14","Seladonia gemmea","3","Medicago lupulina","3"
"15","Andrena (Chlorandrena) cf. humilis","2","Plantago lanceolata","3"
"16","Anthidium manicatum","2","Anacyclus clavatus","2"
"17","Anthophora bimaculata","2","Anchusa sp","2"
"18","Ceratina chalcites","2","Rapistrum sp","2"
"19","Ceratina cucurbitina","2","Sonchus asper","2"
"20","Colletes abeillei","2","Torilis nodosa","2"
"21","Dasypoda visnaga","2","Bromus hordeaceus","1"
"22","Enicopus sp","2","Chondrilla juncea","1"
"23","Episyrphus balteatus","2","Convolvulus arvensis","1"
"24","Halictus fulvipes","2","Scabiosa maritima","1"
"25","Lasioglossum laevigatum","2","Thymus officinalis","1"
"26","Lasioglossum malachurum","2","Tragopogon sp","1"
"27","Lasioglossum pauxillum","2"," "," "
"28","Mylabris cf. variabilis","2"," "," "
"29","Pseudapis diversipes","2"," "," "
"30","Ammophila sp","1"," "," "
"31","Andrena nana","1"," "," "
"32","Andrena ovatula","1"," "," "
"33","Andrena pandosa","1"," "," "
"34","Andrena pilipes","1"," "," "
"35","Andrena verticalis","1"," "," "
"36","Bombylius medius","1"," "," "
"37","Ceratina mocsary","1"," "," "
"38","Cerceris sp","1"," "," "
"39","Certallum ebullinum","1"," "," "
"40","Chalicodoma pyrenaica","1"," "," "
"41","Conophorus sp","1"," "," "
"42","Eristalis tenax","1"," "," "
"43","Halictus scabiosae","1"," "," "
"44","Hoplitis adunca","1"," "," "
"45","Hylaeus variegatus","1"," "," "
"46","Lasioglossum marginatum","1"," "," "
"47","Lasioglossum minutissimum","1"," "," "
"48","Lasioglossum villosulum","1"," "," "
"49","Lestica clypeata","1"," "," "
"50","Lomatia sp","1"," "," "
"51","Megachile apicalis","1"," "," "
"52","Megascolia bidens","1"," "," "
"53","Panurginus albopilosus","1"," "," "
"54","Parageron sp","1"," "," "
"55","Polistes dominulus","1"," "," "
"56","Polyommatus icarus","1"," "," "
"57","Pseudapis bispinosa","1"," "," "
"58","Psilothrix viridicoerulea","1"," "," "
"59","Sphecodes ruficrus","1"," "," "
"60","Villa sp","1"," "," "
